from,to,date_from,date_to,place_from
Sir Thomas Wilkes (Wylkes),"Thomas Sackville, Baron Buckhurst, Earl of Dorset",15900729,15900729,Hague
Valentine Dale,Sir Thomas Smith,15740902,15740902,Lyons
Sir Thomas Chamberlain,Privy Council,15451005,15451005,Weasett upon the Mase
George Tayllour,"Honor Plantagenet, Lady Lisle",15350612,15350612,London
John Hackett,"Thomas Cromwell, Earl of Essex",15340312,15340312,Brussels
Jenne de Saveuzes (Madame de Riou),"Honor Plantagenet, Lady Lisle",15380810,15380810,Dourrier
Lord Henry Scrope,"Sir William Cecil, Lord Burghley",15700218,15700218,Carlisle
Sir Francis Walsingham,Henry Maynard,15870101,15871231,NA
Sir Amias Paulet,Sir Francis Walsingham,15860425,15860425,Chartley
"James Stewart, 1st Earl of Moray","Sir William Cecil, Lord Burghley",15650910,15650910,Dumfries
Robert Tomlynson,"Thomas Cromwell, Earl of Essex",15330529,15330529,Boston
Sir Thomas Norris (Norreys),"Sir Robert Cecil, Earl of Salisbury",16020119,16020119,NA
Nicholas Shaxton,"Thomas Cromwell, Earl of Essex",15350527,15350527,Mortlake
Edward Stafford,Sir Francis Walsingham,15861103,15861103,Paris
"John Dymock (c.1493–1585), London merchant and diplomatic agent","Edward Seymour, Duke of Somerset, Lord Protector",15490316,15490316,Bremen
Queen Elizabeth I,"Francis Russell, Earl of Bedford",15660402,15660402,Greenwich
"Margaret Tudor, Queen consort of Scotland",Henry VIII,15241127,15241127,Edinburgh
Sir William Fitzwilliam,Sir Richard Bingham,15900323,15900323,Dublin Castle
Queen Elizabeth I,Sir Edward Warner,15610817,15610817,NA
"Richard Sampson, Bishop of Coventry and Lichfield",Cardinal Thomas Wolsey,15221110,15221110,Valladolid
George Wyse,"Sir William Cecil, Lord Burghley",15670620,15670620,Waterford
Sir William Russell,"Sir William Cecil, Lord Burghley",15940813,15940813,Dublin Castle
Sir Francis Walsingham,"Sir William Cecil, Lord Burghley",15710817,15710817,Paris
Stephen Vaughan,Privy Council,15450118,15450118,Antwerp
Robert Naunton,William Asheby (Ashby),15890709,15890709,NA
John Popham,"Sir Robert Cecil, Earl of Salisbury",16010518,16010518,"Serjeant's Inn, Fleet Street"
Thomas Longston,Sir Francis Walsingham,15820928,15820928,Middelburg
"John Dudley, Duke of Northumberland",Henry VIII,15460507,15460507,Guisnes
Sir Nicholas Clifford,"Sir Robert Cecil, Earl of Salisbury",15940401,15940430,NA
"Cardinal Reginald Pole, Archbishop of Canterbury",Henry VIII,15360527,15360527,Venice
Tho. Littilbury and Thomas Copledike,Privy Council,15871116,15871116,Stansby
"Margaret Vernon, Abbess of Malling","Thomas Cromwell, Earl of Essex",15350126,15350126,Stepney
"Charles Howard, Baron Howard of Effingham, Earl of Nottingham","Sir Robert Cecil, Earl of Salisbury",16010605,16010605,NA
Marmaduke Darrell,"Sir William Cecil, Lord Burghley",15890408,15890408,Plymouth
Sir John Tracy,"Sir Robert Cecil, Earl of Salisbury",16000606,16000606,Toddington
Sir Edward Carne,"Edward Seymour, Duke of Somerset, Lord Protector",15470417,15470417,Bruges
Queen Elizabeth I,Gerald Fitzgerald,15790728,15790728,Greenwich
Sebastian Giustinian,"Leonardo Loredan, Doge of Venice",15170806,15170806,London
Sir Walter Mildmay,Thomas Fanshawe,15701120,15701120,NA
Mary of Guise,Sir James Croft,15591115,15591115,Edinburgh
"Mary, Queen of Scots","Francis Russell, Earl of Bedford",15650828,15650828,Stirling
Captain Thomas Lambyn,"Sir Robert Cecil, Earl of Salisbury",15950726,15950726,NA
Charles de Danzay,Robert Beale,15831218,15831218,NA
Captain Edmond Waynman,J. de Franceschi,15900205,15900205,Ostend
James V,"Christian III, King of Denmark",15351201,15351201,Stirling
Dr. Isaac Barrow,"Sir William Cecil, Lord Burghley",15950101,15951231,Cambridge
"Sir Robert Cecil, Earl of Salisbury","Sir William Cecil, Lord Burghley",15970101,15971231,NA
Edmund Yorke,Privy Council,15900323,15900323,Dublin Castle
Estates General,Sir Noel de Caron,16020930,16020930,NA
John Bishop of Exeter,"Thomas Cromwell, Earl of Essex",15330218,15330218,Ludlow
"Henry Brooke, Baron Cobham","Sir Robert Cecil, Earl of Salisbury",16021229,16021229,Blackfriars
Thomas Wyrryal,Sir John Perrott,15830515,15830515,Haverford West
"Thomas Benoit, Clareniceux King of Arms","Charles Somerset, Earl of Worcester",15150223,15150223,Paris
Queen Elizabeth I,Commissioners of Musters in Wales,15850801,15850801,NA
William Broughton,Nicholas Williamson,15860101,15941231,NA
Edward Baeshe,Sir Francis Walsingham,15860724,15860724,London
Adam Loftus,"Sir William Cecil, Lord Burghley",15881115,15881115,Dublin
